Country,Historical_VaR_99,Parametric_VaR_99
Germany,-0.3713000000000001,-0.40032441083312253
France,-0.4499999999999994,-0.48124390427864905
Italy,-0.9412999999999995,-0.6967508871280861
Spain,-0.6699999999999999,-0.5946922756915465
Portugal,-1.0312999999999994,-0.7620808962579528
